1,0
creative,Slight discomfort
amazing,Confused
joy,Nausea
Curious,emptiness
nice,confusion
creativity,Boring
attractive,not evoke emotions
interest,Anxious
attraction,Feeling worried
good,uneasy
impression,irritated
passion,lonely
hope,Darkness
calm,Explosion
Peace,dispersal
Calmness,mess
Neutral,Expansion
happyness,Spread Power Unstoppable
happy,Diffuse spread
optimism,hallucination
positive,Agitation
exciting,Mental turmoil
Energetic,Chaos
Imagination,Weird
passionate,obscure
interesting,scary
interested,sad
curiosity,Melancholy
Creation,upset
very emotionally,suffocated
Imaginary calm,Collusion Forces Fight
Peaceful,Tension
relaxing,fear
Relaxation,Slightly gloomy
warmth,hardship
A storm of emotions,Scare
Sweeps me away,anxiety
astonishment,Colors that do not work together
Bursting energy,A big mess
supernatural mind,bothers the eye
touching infinity,An attempt to make order in creation
aspiration,fungal nightmares
Born New Life,illness
Pretty,Disgust
quite,Disgusted
Relaxed,does not evoke emotion
gentle dance,sadness
Deep breath,instability
Fun,lonley
Mistiriously happy,Bored
optimistic,scared
pleasure,Threat
Standstill,Loneliness
overcoming,isolated
freedom,Holocaust
soothing,desperation
perfection,solitude
mystery,alone
peacful,painful
thoughtful,Uncomfortable
excited,Beautiful but sad
special,uncertainty
cheerful,conflicted
control,wierd
soft,complexity
romantic,strange
happiness,disturbing
intriguing,afraid
magical dreaming,greyish
surprised,annoying partial drawing
enchanted,strange energies
motivation,leakage
protection,unorganized
spectacular glow,messy
powerfull,distortion
happiness erupts,conflicted  unorganized
,stressed
,disorientated socked
,insulation
,danger
,ugly  basic
,disharmony
,crisis
,fearful
,heaviness  burden
,worry
,alienation
,aggression violence
,perplexity
,nonsense
,restlessness
,unpleasent
,terror
,anger
,mad
